id,user_id,territory_id,is_primary,source_system,mapping_basis,evidence_score,created_at,effective_start_date,effective_end_date
e28ae564-ba02-40fb-8f70-efea29cf7606,036a993a-ec65-4f2c-b9eb-26af64345965,4d8bfb24-629d-4351-aa7c-3ebd407fadbe,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853883+00:00,2025-09-01,
11460744-e233-4323-b25e-cb8ec3274d15,aa91ce6b-db5a-4905-9596-e570c92c71ba,c7701232-373b-4ea4-9e0b-fc3ef166977c,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853888+00:00,2025-09-01,
394ce77b-b3a2-481c-8a6b-be49e8381e08,f5ccd00e-1424-4ee1-aa14-59771e899ce9,c629609d-6a66-461e-91b2-239e7a4ba4b4,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853893+00:00,2025-09-01,
ed86ae49-0b3a-4da2-9910-37e0e4f20b39,53c7ecf6-5ecd-42d4-8fe0-c678066b32cb,5a04b656-0c88-423d-a9b2-1fca70989b87,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853897+00:00,2025-09-01,
1da63ab8-a81c-45c3-8643-a2dfb8d44c45,86d4ef51-76d9-4e1a-83da-cca340ec0692,c7701232-373b-4ea4-9e0b-fc3ef166977c,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853902+00:00,2025-09-01,
cb1671a5-bd0a-465e-a327-480ffdec8855,4c789afb-4bea-4d1f-bdab-419243262d97,7c18684d-95a3-45c5-b8f6-b3fbe9d6c1df,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853906+00:00,2025-09-01,
b8bb8e60-a80e-4d53-a108-3e237b8048f7,d8b021de-8a78-4e3c-b297-c78b5051ccf6,c7701232-373b-4ea4-9e0b-fc3ef166977c,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853911+00:00,2025-09-01,
10ee6aeb-2338-42b5-a858-7e9e9c63f166,008a4f5b-39ee-45bf-92d9-890229bd5292,8bbc5333-4cc6-4cbf-b9c1-31d0cbfeb1d2,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853915+00:00,2025-09-01,
a98f51f2-67e5-4bfe-8b5b-65b50f953c23,d698972b-e7cd-4f50-abf0-ebf29e338d60,8bbc5333-4cc6-4cbf-b9c1-31d0cbfeb1d2,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853919+00:00,2025-09-01,
88200ea5-a789-436c-a340-2c78062b1300,5581bb5e-f9c7-4d19-b0c9-63318a14064c,c629609d-6a66-461e-91b2-239e7a4ba4b4,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853924+00:00,2025-09-01,
b30e3536-5e6b-45f3-81ea-455d17722418,dfce1378-1a7b-4172-84bc-7beaaa840688,c7701232-373b-4ea4-9e0b-fc3ef166977c,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853928+00:00,2025-09-01,
a7dee983-9a54-48cd-b95f-7b52d1adc55f,13713137-b583-4c0d-bef3-4b64903e77dc,8bbc5333-4cc6-4cbf-b9c1-31d0cbfeb1d2,true,generated,regional-alignment,0.92,2026-09-01T16:48:35.853932+00:00,2025-09-01,
