id,rep_id,period,grain,revenue,quota,attainment_pct,snapshot_date
5a58e903-7841-428f-9371-c0bc1581b08d,2e84bd52-7df5-459d-ab52-be0a4951d0d7,2026-02,monthly,35831.08,0.0,0.0,2026-05-24
44e3bad9-8b9d-476c-b261-e5789468bbfe,2e84bd52-7df5-459d-ab52-be0a4951d0d7,2026-03,monthly,36415.97,0.0,0.0,2026-05-24
42035cef-23f2-40c9-9827-755481f446c7,2e84bd52-7df5-459d-ab52-be0a4951d0d7,2026-04,monthly,34290.61,0.0,0.0,2026-05-24
9614fb01-1282-412f-b329-17bb5228fb23,2e84bd52-7df5-459d-ab52-be0a4951d0d7,2026-05,monthly,40728.58,0.0,0.0,2026-05-24
e90fa75c-6b58-40d0-95f3-202d6ccd1ed3,87471b18-bfc0-4214-98fc-51cac106e539,2025-03,monthly,6170.66,20784.76,29.6884,2026-05-24
eaaee504-d922-46d2-a4ed-21910de18bbe,87471b18-bfc0-4214-98fc-51cac106e539,2025-04,monthly,6170.66,21538.15,28.6499,2026-05-24
9e89052c-bc43-4604-9b28-e391fbac3fd1,87471b18-bfc0-4214-98fc-51cac106e539,2025-05,monthly,6170.66,21538.15,28.6499,2026-05-24
ad09637e-fa96-4462-bf43-35b059017250,87471b18-bfc0-4214-98fc-51cac106e539,2025-06,monthly,13570.37,21538.15,63.0062,2026-05-24
8d84b3ec-5cc7-40e9-b3f1-3e7747734685,87471b18-bfc0-4214-98fc-51cac106e539,2025-07,monthly,14306.72,19411.4,73.7027,2026-05-24
f5658f42-2c4f-4e87-a35f-b482a2b83b23,87471b18-bfc0-4214-98fc-51cac106e539,2025-08,monthly,25045.4,19411.4,129.0242,2026-05-24
0aa1a9cf-1da8-4c47-ad39-0bcefba16e56,87471b18-bfc0-4214-98fc-51cac106e539,2025-09,monthly,25045.4,19411.4,129.0242,2026-05-24
e481cd0e-0c22-47dc-9233-fa4e47ea71ee,87471b18-bfc0-4214-98fc-51cac106e539,2025-10,monthly,25045.4,19995.06,125.2579,2026-05-24
1139cfc9-9b22-40e9-9865-6fe631a569df,87471b18-bfc0-4214-98fc-51cac106e539,2025-11,monthly,34157.0,19995.06,170.8272,2026-05-24
361a07dd-592f-46e3-b2b1-e2d13ffc97e4,87471b18-bfc0-4214-98fc-51cac106e539,2025-12,monthly,32672.34,19995.06,163.4021,2026-05-24
99967ea7-e5a3-4fe3-8093-27d61a38107a,87471b18-bfc0-4214-98fc-51cac106e539,2026-01,monthly,41497.71,18681.66,222.1307,2026-05-24
ba3d25b6-8dbb-4ac1-aaf5-d9abfe30e855,87471b18-bfc0-4214-98fc-51cac106e539,2026-02,monthly,42887.23,18681.66,229.5686,2026-05-24
6a130dd0-a822-4cc2-bfe4-0281e89e5b61,87471b18-bfc0-4214-98fc-51cac106e539,2026-03,monthly,48317.74,18681.66,258.6372,2026-05-24
df81d70d-9ded-48b6-97f9-0c533f616ff6,87471b18-bfc0-4214-98fc-51cac106e539,2026-04,monthly,60518.01,20233.71,299.0949,2026-05-24
88953069-82c7-4e83-83e7-d16843aa74ba,87471b18-bfc0-4214-98fc-51cac106e539,2026-05,monthly,60518.01,20233.71,299.0949,2026-05-24
