id,user_id,manager_user_id,source_system,created_at
b45494d1-bf5b-44ab-8476-9fe36dd49bdb,c9841865-5ca2-47bf-bb98-d303583e8025,,generated,2026-09-02T17:50:25.231381+00:00
7492ff33-1ae0-41e9-83a1-3d4c90b43a4b,172825ff-8dd9-4fce-9d18-39e0cd006c4b,c9841865-5ca2-47bf-bb98-d303583e8025,generated,2026-09-02T17:50:25.231385+00:00
efd4a261-ae63-4bbd-a88e-88f4e1f8c144,564a0379-4c7f-4316-8db6-a6392d47e823,c9841865-5ca2-47bf-bb98-d303583e8025,generated,2026-09-02T17:50:25.231388+00:00
7afbd32e-82a8-42ad-a359-d5bcddea48e0,de0da76a-55fe-4257-a2f0-cc6b740ac247,c9841865-5ca2-47bf-bb98-d303583e8025,generated,2026-09-02T17:50:25.231391+00:00
5ee7dc51-5923-4e42-9ccb-077f8534909c,d8eee7f3-9456-45c8-ad9c-f6a4da5d4839,172825ff-8dd9-4fce-9d18-39e0cd006c4b,generated,2026-09-02T17:50:25.231394+00:00
792aa043-72cc-49cd-bd61-b4ea4be5d074,9b6c2739-4eaf-4a21-a1d1-9218a148d2fe,564a0379-4c7f-4316-8db6-a6392d47e823,generated,2026-09-02T17:50:25.231397+00:00
8fe70dbf-2293-42cf-857e-00bf7da1c178,835a8f24-2419-4f7a-8ea6-5aec15339373,de0da76a-55fe-4257-a2f0-cc6b740ac247,generated,2026-09-02T17:50:25.231400+00:00
9cedb3fb-ef24-40a8-bc09-6ca27e79871e,3282d8e6-88b5-4a09-8d81-7afd832cda1b,172825ff-8dd9-4fce-9d18-39e0cd006c4b,generated,2026-09-02T17:50:25.231402+00:00
b614c6a5-f8b0-496d-bcda-1e2746149497,88a923f5-5ed5-48e4-ade6-e5764f960114,564a0379-4c7f-4316-8db6-a6392d47e823,generated,2026-09-02T17:50:25.231405+00:00
27dbc258-d542-4b1b-9e6c-7c4b888c70e8,020eafeb-5b9c-4757-b6d5-04a035f6294f,de0da76a-55fe-4257-a2f0-cc6b740ac247,generated,2026-09-02T17:50:25.231408+00:00
d14310ff-402c-4498-8d5d-e3a80551f530,27d8db70-db39-424a-aeda-782ba3d50a65,172825ff-8dd9-4fce-9d18-39e0cd006c4b,generated,2026-09-02T17:50:25.231411+00:00
101026ab-ca21-461c-bdda-0ef7012265a9,7b1be854-099d-4e77-9f93-4fe2e0aeef6d,564a0379-4c7f-4316-8db6-a6392d47e823,generated,2026-09-02T17:50:25.231414+00:00
