id,user_id,plan_id,period,payout_amount,commission_rate,fallback_used,confidence,source_system,created_at
f2e8b296-baed-47bb-9cc8-ffcaa3d16b8c,020eafeb-5b9c-4757-b6d5-04a035f6294f,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747268
19b07c1a-a222-404f-b50d-c839c02c49fe,172825ff-8dd9-4fce-9d18-39e0cd006c4b,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747273
46109513-1a63-49e1-b171-e04169e4f255,27d8db70-db39-424a-aeda-782ba3d50a65,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747276
cc150c3a-0b16-4d8f-8894-a70cae3c9ec6,3282d8e6-88b5-4a09-8d81-7afd832cda1b,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747278
a183e192-62df-44a6-9b1b-f6c9ae235de8,564a0379-4c7f-4316-8db6-a6392d47e823,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747280
c0b6ec09-7799-4998-b910-8bcf0f73a20e,7b1be854-099d-4e77-9f93-4fe2e0aeef6d,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747283
85c92acc-c4ba-478a-b74e-92a7cc05c9a7,835a8f24-2419-4f7a-8ea6-5aec15339373,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747285
c0bf7791-58ac-40dd-98ea-6ed053ae5a0e,88a923f5-5ed5-48e4-ade6-e5764f960114,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747287
6f2b3b28-0e62-47be-a4b5-fd7f659b69ba,9b6c2739-4eaf-4a21-a1d1-9218a148d2fe,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747290
a35386f8-3b6b-4ec7-a09f-588a3d8aadbd,c9841865-5ca2-47bf-bb98-d303583e8025,,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747292
1d43390b-9454-4e6d-95a6-78b6eeac421e,d8eee7f3-9456-45c8-ad9c-f6a4da5d4839,36ffe6a6-5911-4ad4-a436-54f54e46183d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-02T17:50:25.747294
