id,deal_id,rep_id,type,outcome,notes,activity_date
d35c2c3e-0b80-41df-bf6c-83603987ad78,6c2087f0-91c6-4e6e-a12a-6624613cfdf1,400374e7-23b6-4c6a-93df-19307aefe5a1,call,neutral,Another possible list listen feel tax along between side gas plan model modern series century month.,2024-06-26T14:17:49.996958
5715c53c-25d8-4d19-9d5d-00667578ee77,6c2087f0-91c6-4e6e-a12a-6624613cfdf1,400374e7-23b6-4c6a-93df-19307aefe5a1,meeting,negative,Else benefit color nothing drive education third result which outside character.,2026-01-15T15:13:48.503060
088033f6-fb7f-4159-bdec-5b12d8c3257b,6c2087f0-91c6-4e6e-a12a-6624613cfdf1,400374e7-23b6-4c6a-93df-19307aefe5a1,email,no_response,Trip budget second assume could defense like challenge send state structure interest firm.,2023-12-16T20:08:58.817593
a48294a9-1f89-47c5-850b-04f50b449a77,6c2087f0-91c6-4e6e-a12a-6624613cfdf1,400374e7-23b6-4c6a-93df-19307aefe5a1,meeting,negative,Over cell item miss pressure night themselves whom budget animal wonder reflect miss along reality.,2025-07-28T12:45:32.540641
56c9677e-2397-4efc-8a72-0ca9bda03f0a,6c2087f0-91c6-4e6e-a12a-6624613cfdf1,400374e7-23b6-4c6a-93df-19307aefe5a1,demo,positive,Direction parent imagine method pressure physical strong outside assume let who lawyer goal assume.,2026-05-24T16:04:34.228743
eed95884-444e-4e21-bf52-fb35e04d866e,6c2087f0-91c6-4e6e-a12a-6624613cfdf1,400374e7-23b6-4c6a-93df-19307aefe5a1,email,no_response,Own loss person water investment player his different evening also whether economic direction degree artist.,2023-12-09T17:31:04.642032
0dd394c1-d13d-4861-9a81-9b444fe79bd6,b041b25e-c57e-460c-be92-1cb0e5c0738e,691d7a7e-dc5d-4799-acec-318674686077,email,no_response,Job medical majority real table trouble information sort foreign half.,2026-01-19T23:40:48.857183
1d5e823f-3c5d-4c41-96ff-010406a65e4b,b041b25e-c57e-460c-be92-1cb0e5c0738e,691d7a7e-dc5d-4799-acec-318674686077,demo,no_response,Away couple water whom give decide stay lawyer pay east after thought process able.,2024-08-10T02:37:56.256429
83ab1661-3831-42fd-ac53-6c949228c95d,b041b25e-c57e-460c-be92-1cb0e5c0738e,691d7a7e-dc5d-4799-acec-318674686077,meeting,negative,Idea good campaign us director player ask which store risk enjoy police study card executive.,2024-08-21T16:11:13.671736
a82f06d2-72ac-4230-b754-0897b79d4ea3,b041b25e-c57e-460c-be92-1cb0e5c0738e,691d7a7e-dc5d-4799-acec-318674686077,call,neutral,Type pretty voice religious television majority scientist thousand movie prove.,2025-04-02T12:39:20.455658
2685685a-635b-4f95-b2d0-1e01e40340fc,b041b25e-c57e-460c-be92-1cb0e5c0738e,691d7a7e-dc5d-4799-acec-318674686077,meeting,no_response,Heavy expert eight some better source sing reality.,2025-01-31T04:06:36.805308
e03a28f5-ccb6-43ba-b4c5-003f643166ea,5715e388-bef6-4604-ab3c-5f0c8a171556,7cec2f3c-b444-44c0-9ae8-a4ac974fb246,email,negative,Social fill the black interest shoulder teacher compare.,2026-09-01T10:39:40.312450
