rep_id,period,mrr_new,mrr_expansion,mrr_contraction,mrr_churn,mrr_renewal,mrr_net,arr_start,arr_end
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-02,0.0,0.0,0.0,0.0,0.0,0.0,84437.78,84437.78
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-03,0.0,0.0,0.0,0.0,0.0,0.0,84437.78,84437.78
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-04,0.0,917.87,0.0,0.0,0.0,917.87,84437.78,95452.22
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-05,0.0,917.87,0.0,0.0,0.0,917.87,95452.22,106466.66
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-06,0.0,917.87,0.0,0.0,0.0,917.87,106466.66,117481.1
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-07,0.0,917.87,0.0,0.0,0.0,917.87,117481.1,128495.54
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-08,0.0,917.87,0.0,0.0,0.0,917.87,128495.54,139509.98
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-09,0.0,917.87,0.0,0.0,0.0,917.87,139509.98,150524.42
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-10,0.0,917.87,0.0,0.0,0.0,917.87,150524.42,161538.86
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-11,0.0,917.87,0.0,0.0,0.0,917.87,161538.86,172553.3
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2024-12,0.0,917.87,0.0,0.0,0.0,917.87,172553.3,183567.74
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-01,0.0,917.87,0.0,0.0,0.0,917.87,183567.74,194582.18
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-02,0.0,917.87,0.0,0.0,0.0,917.87,194582.18,205596.62
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-03,0.0,917.87,0.0,0.0,0.0,917.87,205596.62,216611.06
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-04,0.0,917.87,0.0,0.0,0.0,917.87,216611.06,227625.5
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-05,0.0,917.87,0.0,0.0,0.0,917.87,227625.5,238639.94
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-06,0.0,917.87,0.0,0.0,0.0,917.87,238639.94,249654.38
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-07,0.0,917.87,0.0,0.0,0.0,917.87,249654.38,260668.82
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-08,0.0,917.87,0.0,0.0,0.0,917.87,260668.82,271683.26
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-09,0.0,917.87,0.0,0.0,0.0,917.87,271683.26,282697.7
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-10,0.0,917.87,0.0,0.0,327.29,1245.16,282697.7,293712.14
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-11,0.0,951.36,0.0,0.0,327.29,1278.65,293712.14,305128.46
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2025-12,987.36,917.87,0.0,0.0,327.29,2232.52,305128.46,327991.22
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2026-01,1393.69,1228.64,0.0,0.0,327.29,2949.62,327991.22,359459.18
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2026-02,1393.69,1228.64,0.0,0.0,327.29,2949.62,359459.18,390927.14
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2026-03,1393.69,1486.66,0.0,0.0,327.29,3207.64,390927.14,425491.34
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2026-04,1393.69,1228.64,0.0,0.0,327.29,2949.62,425491.34,456959.3
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2026-05,1393.69,1228.64,0.0,0.0,327.29,2949.62,456959.3,488427.26
bf3d7a76-90e7-426c-8f4a-35b75f27b707,2026-06,1393.69,1228.64,0.0,0.0,327.29,2949.62,488427.26,519895.22
