id,external_id,account_id,owner_user_id,source,status,score,created_at,source_system
937e8735-6da8-4ab1-932c-b341ae0f3f09,LEAD-AC715859,24fd702d-c425-4f85-8ab1-16e898affd6c,036a993a-ec65-4f2c-b9eb-26af64345965,outbound_sdx,qualified,21.1,2026-09-01T16:48:35.859327+00:00,generated
8b88aed3-9f55-4f7d-af1f-302704346a25,LEAD-7CC7672D,24fd702d-c425-4f85-8ab1-16e898affd6c,036a993a-ec65-4f2c-b9eb-26af64345965,event,qualified,43.4,2026-09-01T16:48:35.859335+00:00,generated
61e307b6-e2f2-4cf3-8b16-9350ee125e88,LEAD-E763F0BB,24fd702d-c425-4f85-8ab1-16e898affd6c,036a993a-ec65-4f2c-b9eb-26af64345965,referral,disqualified,54.8,2026-09-01T16:48:35.859341+00:00,generated
4faae943-5a41-412b-9f3d-66d5c5c71012,LEAD-E3575E44,1cddb179-533a-4b47-bb64-e1b5fbe032b4,aa91ce6b-db5a-4905-9596-e570c92c71ba,outbound_sdx,converted,24.2,2026-09-01T16:48:35.859348+00:00,generated
d2eea670-4705-4838-bf3d-9d7a714febcc,LEAD-3B7A5841,1cddb179-533a-4b47-bb64-e1b5fbe032b4,aa91ce6b-db5a-4905-9596-e570c92c71ba,inbound_web,disqualified,60.7,2026-09-01T16:48:35.859354+00:00,generated
cb55be4b-c8e4-416c-a809-b1e082ae0f11,LEAD-4F89B745,2f1e91ce-571c-49d7-86e2-12416bb66fda,d8b021de-8a78-4e3c-b297-c78b5051ccf6,inbound_web,converted,93.1,2026-09-01T16:48:35.859361+00:00,generated
77929e93-f19b-4361-9e5a-4152ee2f3af4,LEAD-F72AC751,2f1e91ce-571c-49d7-86e2-12416bb66fda,d8b021de-8a78-4e3c-b297-c78b5051ccf6,event,disqualified,77.8,2026-09-01T16:48:35.859367+00:00,generated
3e9953c0-0d1b-4a85-bc4f-b44729302fa1,LEAD-78725205,6ffbc85f-43ba-44c1-bf87-9c528e67e6da,53c7ecf6-5ecd-42d4-8fe0-c678066b32cb,inbound_web,contacted,59.1,2026-09-01T16:48:35.859373+00:00,generated
05e780ab-7128-4f92-a14f-51fde93ef5b9,LEAD-0BC1C1D0,a15e275c-8b35-47cd-9562-5fa7777d63fd,d8b021de-8a78-4e3c-b297-c78b5051ccf6,referral,disqualified,90.2,2026-09-01T16:48:35.859379+00:00,generated
4e73ffff-a987-440e-8b3f-617c619848d4,LEAD-BED06A5A,a15e275c-8b35-47cd-9562-5fa7777d63fd,d8b021de-8a78-4e3c-b297-c78b5051ccf6,paid_ads,new,23.2,2026-09-01T16:48:35.859385+00:00,generated
