id,plan_id,name,metric_name,threshold_min,threshold_max,rate,accelerator_rate,bonus_amount,rollup_enabled,rollup_pct,carryover_enabled,carryover_cap,source_system,created_at
57877d50-7605-4d16-8fd3-a95de2940970,fe0e573a-877a-48e2-8405-9e4544d6bcdf,Tier 1 Rule,attainment_pct,0,79.99,0.03,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:35.853583+00:00
f934e7d3-8192-457f-b60a-43a17de31e09,fe0e573a-877a-48e2-8405-9e4544d6bcdf,Tier 2 Rule,attainment_pct,80,99.99,0.05,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:35.853588+00:00
a7dfeae1-22c0-4d08-8b9d-00048671e2e8,fe0e573a-877a-48e2-8405-9e4544d6bcdf,Tier 3 Rule,attainment_pct,100,119.99,0.08,0.01,2000,false,0.0,true,5000.0,generated,2026-09-01T16:48:35.853593+00:00
1d245efe-940d-457f-a166-135f41b0a900,fe0e573a-877a-48e2-8405-9e4544d6bcdf,Tier 4 Rule,attainment_pct,120,999.0,0.1,0.02,2000,true,0.15,true,10000.0,generated,2026-09-01T16:48:35.853597+00:00
a648f75e-e7d5-4eab-ae62-9d3ae4a3d8a3,9705524e-7853-43ab-874c-fae432b64e71,Tier 1 Rule,attainment_pct,0,79.99,0.03,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:35.853601+00:00
88025b80-f649-4eaa-a633-e4f2f768b8ce,9705524e-7853-43ab-874c-fae432b64e71,Tier 2 Rule,attainment_pct,80,99.99,0.05,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:35.853605+00:00
a48b13fb-397b-4cac-a498-d73be18776ee,9705524e-7853-43ab-874c-fae432b64e71,Tier 3 Rule,attainment_pct,100,119.99,0.08,0.01,2000,false,0.0,true,5000.0,generated,2026-09-01T16:48:35.853609+00:00
4c9e9f0b-04c5-4d23-85e2-2b68a2fb483e,9705524e-7853-43ab-874c-fae432b64e71,Tier 4 Rule,attainment_pct,120,999.0,0.1,0.02,2000,true,0.15,true,10000.0,generated,2026-09-01T16:48:35.853612+00:00
f8c48477-6035-4798-b1de-1545576cc28d,a7715abe-e0f9-42cf-8324-4b5445a63f32,Tier 1 Rule,attainment_pct,0,79.99,0.03,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:35.853616+00:00
ffdbfe6f-3fc5-4080-973d-295adb39db88,a7715abe-e0f9-42cf-8324-4b5445a63f32,Tier 2 Rule,attainment_pct,80,99.99,0.05,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:35.853619+00:00
4cc1f3e2-83ce-4fd2-bab8-eb1f7872c815,a7715abe-e0f9-42cf-8324-4b5445a63f32,Tier 3 Rule,attainment_pct,100,119.99,0.08,0.01,2000,false,0.0,true,5000.0,generated,2026-09-01T16:48:35.853623+00:00
ba5a62b0-4284-4302-a4d5-261375a4bbad,a7715abe-e0f9-42cf-8324-4b5445a63f32,Tier 4 Rule,attainment_pct,120,999.0,0.1,0.02,2000,true,0.15,true,10000.0,generated,2026-09-01T16:48:35.853627+00:00
f28834cb-572d-4f96-a4de-be5bfb226d72,34c31dce-609f-42fd-ac11-6f59e2cf10fb,Tier 1 Rule,attainment_pct,0,79.99,0.03,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:35.853631+00:00
0a775771-9bf6-4c6f-bddd-4d5e81c7f294,34c31dce-609f-42fd-ac11-6f59e2cf10fb,Tier 2 Rule,attainment_pct,80,99.99,0.05,0.0,0,false,0.0,false,0.0,generated,2026-09-01T16:48:35.853635+00:00
cdef44e7-d5d6-4991-ba06-2f05d7d7df2e,34c31dce-609f-42fd-ac11-6f59e2cf10fb,Tier 3 Rule,attainment_pct,100,119.99,0.08,0.01,2000,false,0.0,true,5000.0,generated,2026-09-01T16:48:35.853638+00:00
f3739c63-ada0-4481-9fbe-c58694d022ed,34c31dce-609f-42fd-ac11-6f59e2cf10fb,Tier 4 Rule,attainment_pct,120,999.0,0.1,0.02,2000,true,0.15,true,10000.0,generated,2026-09-01T16:48:35.853642+00:00
