id,name,industry,employee_count,annual_revenue
e8fcc902-d953-46e8-8592-8d82c2a6322d,"Parrish, Morgan and Jones",Finance,500,79920719.42
e16f2fd1-d6d8-4c7f-9dd1-2fcff08ad778,Rangel PLC,SaaS,5000,438050617.25
725171e3-e192-49cf-a15e-87f55389e435,Sanchez-Harding,Finance,1000,381219137.33
24fd702d-c425-4f85-8ab1-16e898affd6c,"Wilson, Evans and Hickman",Manufacturing,50,435388766.35
1cddb179-533a-4b47-bb64-e1b5fbe032b4,"Garcia, Shaw and Jimenez",Finance,10000,319835797.94
e53178d5-b1e4-4acb-8165-0d90ae8cbf0f,Smith LLC,Manufacturing,100,77266795.01
2f1e91ce-571c-49d7-86e2-12416bb66fda,Chen and Sons,Logistics,100,270150136.03
45269717-d0cf-46a4-8d5d-1660fb981928,Avila Inc,Logistics,1000,459328253.7
6ffbc85f-43ba-44c1-bf87-9c528e67e6da,"Contreras, Anderson and Bishop",Manufacturing,250,244814248.31
a15e275c-8b35-47cd-9562-5fa7777d63fd,Brown Inc,SaaS,250,439482217.03
baaddfda-2c88-4451-8465-9d3a9d981639,Jackson-Mckinney,Logistics,10000,154449548.58
aa39c0a4-9030-440f-b68d-22f3cb349180,"Edwards, Martinez and Smith",SaaS,100,439126790.0
03710ee5-c598-4c70-979e-9aa10739a08d,Key Inc,SaaS,50,366221889.83
8ec58e4b-9aeb-41b7-9a0b-d9251635dd74,Mendoza-Cunningham,Logistics,50,489014262.34
3ca44c22-b825-4ae1-9022-04207725eedc,Schneider-Gamble,Manufacturing,10000,63754495.25
9dc9c0bc-49ad-4b99-9cba-2f8de12b2aef,"Coleman, Munoz and Spencer",Media,500,473477491.17
9b75e0ec-b2d2-472f-89b4-761e42890756,Carlson-Armstrong,Healthcare,250,264309219.92
cb8b93e9-d531-4c52-ba67-85cc0fd08998,Brown LLC,Manufacturing,500,482217090.1
041619a1-7bd6-4924-9ad4-24ac0be391b6,Sparks-Powell,Manufacturing,10000,365235603.48
98d9c3c9-38e7-4c9d-9a6b-c45f10e2ff2b,Erickson PLC,Healthcare,5000,156546429.36
9abd720f-798c-42a3-b320-a5db13dd4f5b,Phillips-Durham,Media,5000,187336830.76
31ddee65-4201-4e1e-b871-a619e8464682,White PLC,Manufacturing,500,61381093.74
87bb2ecf-a490-40cd-a76e-5601ce2ba608,Mueller-Vasquez,Healthcare,50,169704695.51
1f284498-d42b-4ad5-8c8f-46aff23f7bf5,Bailey and Sons,Manufacturing,1000,115827251.57
607bf072-ffd7-43a3-b702-81223e46add7,Shelton Group,Healthcare,50,36425549.92
35b14d79-8e04-4c26-81ee-bfc3058ecc9a,"Castillo, Merritt and Ramirez",Media,50,115241950.12
9241808d-e1a1-481e-b1a3-cea175b7aa0b,Rodriguez-Newman,SaaS,10000,165883816.05
e5c70da2-6639-4ab9-ad9d-6d7985df9cb6,"Stevenson, Campbell and Patrick",Manufacturing,100,139960154.72
32576999-3661-40c7-bc3f-9720d960f4fa,"Graham, Hammond and Sanders",Retail,100,270077731.77
bfd488d0-a54c-4754-a820-6e5010b6c6a0,"Meyer, Fuentes and Kelly",Media,1000,288529613.21
05ff2ced-71ee-4173-9f9e-a4adab2d2a09,"Stevens, Murray and Barrett",Healthcare,10000,237013498.53
b3371a82-6b44-49d3-804d-421b31038772,"Perry, Tucker and King",Retail,100,48068572.45
62943166-f92e-43da-8d1b-dbe964e6f0de,Nguyen-Brooks,Media,500,177794485.73
c4b2a631-2891-46ee-9d49-2e6ba5115e7f,Price LLC,Retail,500,432054537.44
45d9c1ff-0b3e-438c-a3ba-dcdcdcbffcec,Willis PLC,SaaS,5000,327074288.64
d117e9c4-c317-4168-aa3b-13c403b323ed,"Smith, Berry and Ward",Media,50,31245724.36
54d1e1e7-dac2-40a9-ae4d-344b2cda1dfe,Baker LLC,Media,250,400495662.92
708c50a2-0551-4b59-8cb2-d01667e5ca1f,"Johnson, Moore and Miller",SaaS,100,96603446.0
243e269c-50d0-4823-aa30-5c134c2af1a8,"Anderson, Douglas and Burton",Manufacturing,500,70950966.25
d4a877c1-8f11-467f-ba1a-0aab282d0c0c,"Green, Hart and Valdez",Healthcare,250,231851406.13
0473cde2-864a-4c5c-bcb1-e6675fe0e32f,Small-Valencia,Logistics,50,222122241.78
8dd57082-841d-48a5-9571-6f3727a6af9b,Berg LLC,Logistics,10000,275612330.91
1baaddd0-ea89-41a2-b08a-ed3bc9fa8d2d,Adams-Edwards,SaaS,5000,499641951.74
158ecc77-4c10-425b-b6e9-cb15a15800d5,Morris-Joseph,Logistics,50,484529132.39
e0ee5c18-8422-4819-b384-758f2b9b299f,Dyer LLC,Logistics,10000,118953365.78
d6d2560c-ca4a-4295-b0b5-7f80509b48ef,Byrd PLC,Retail,500,241197850.57
e0a5b9e7-4980-4ede-b377-512f72aab6f0,Webster LLC,Logistics,500,451318989.89
36b867f7-07f5-4595-85fb-d54836ad3f54,Moran-Mccoy,Healthcare,500,2075533.8
ad8a5c7e-2276-4d90-8c6f-3cf87f41bd50,Jackson-Kirk,Retail,250,463332518.71
99e9b77a-90d5-47e0-b525-28a3ca06e009,Cobb-Ward,Logistics,500,143339365.24
78a54de2-4300-4409-a643-2ad4dc2c00aa,Glenn-Smith,Media,5000,497715922.06
07669934-193d-42e8-be3a-2b1165f71fd0,"Wall, Luna and Anthony",Manufacturing,5000,359485729.37
9030d647-03f1-4f7c-a405-408085e5d2c0,"Bailey, Washington and Smith",Healthcare,100,149057204.92
c82efefe-1877-49e3-8c6b-74e3eb399056,"Sandoval, Joseph and Price",SaaS,1000,368132852.22
ce8f0cd9-d907-4ebe-bd45-8d625eb66543,Cross-Williams,SaaS,5000,157488800.08
6af2d943-bce4-47e0-87b7-f9fef114b634,"Kemp, Sutton and Melton",SaaS,1000,238917470.04
ed009d69-b4b5-4695-b984-3dc071d9a354,Thomas-Hill,Logistics,1000,79558931.24
dc5fe450-9ad0-48fb-80b2-738e68097c35,Hunter-Porter,Manufacturing,50,425819930.13
8b6e5eab-b553-4223-977a-d86be4ec8f6c,"Miles, Schmidt and Perry",SaaS,1000,34912470.82
2954b1e1-80b1-4457-9f29-7772a51252b9,Rodgers-Nunez,Logistics,100,202484000.11
