id,user_id,territory_id,is_primary,source_system,mapping_basis,evidence_score,created_at,effective_start_date,effective_end_date
3e6c4ffb-bdf3-4379-b829-491554fb997d,6416bec8-9da7-44d5-a06b-efec2f9528d8,69a1071b-a779-4cf2-aa05-46392822d1ae,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094214+00:00,2025-07-01,
82542263-5c0c-4a12-a2ba-abad19f1a307,e65e297f-4218-43d7-96ef-f7b781e2cf9c,c48d02a1-34e7-4966-9660-382a3ed6c0f5,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094219+00:00,2025-07-01,
b38aee88-8bd3-4633-bc50-409307b1021a,a670b503-7f8a-4e15-8f6a-63b63a32d83f,98f89cc2-0ec0-4166-b50a-0b58dd102cb0,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094225+00:00,2025-07-01,
a2fa1b42-7e10-4f74-8e45-56a3a513f9af,a6c0413f-dd65-4809-8846-532dd0cfe87e,98f89cc2-0ec0-4166-b50a-0b58dd102cb0,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094229+00:00,2025-07-01,
5d42ff10-3fb6-433f-a6e6-7f5c28a50d91,18f91e7c-5929-4d5e-b4b0-1d355575fa38,69a1071b-a779-4cf2-aa05-46392822d1ae,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094234+00:00,2025-07-01,
b6a6ee9a-0eff-4415-b17d-d3d85100a52d,30ca4171-0eff-47a0-a171-7d63ae236bb0,667157d8-aa03-462a-9314-44006671b766,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094239+00:00,2025-07-01,
266add3e-662b-483e-b009-36dee228164f,76232a10-de27-4d76-b0cc-03d5889ed059,c3330418-e689-4b13-a103-d11eecf76d08,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094243+00:00,2025-07-01,
ba7e1b28-a465-40c4-8e97-28697d3c8dea,efb7b22e-1466-4151-abb7-f51ff235b5e7,98f89cc2-0ec0-4166-b50a-0b58dd102cb0,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094248+00:00,2025-07-01,
b81c54a7-bfc6-4787-a03c-08bcff373aba,b675f7c8-70a1-4a4d-83b8-b0b05eaf2978,e8e96dc8-b874-45e7-9682-f17607777f70,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094253+00:00,2025-07-01,
7fcda511-ce23-490a-b03a-adfd16f3a741,0a8c7ad8-7ff8-4786-93e6-3839947e3bf8,305af9ca-aa03-4a52-be64-13e6fb83d5be,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094257+00:00,2025-07-01,
cfecbaa5-66be-47f9-82fa-2003f17dd188,8f0b2d71-77f6-40c1-88d7-c3d8757bb43d,69a1071b-a779-4cf2-aa05-46392822d1ae,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094262+00:00,2025-07-01,
34c4901f-6bc0-4858-ba28-7a7349b88ad0,25b0e4be-cec9-445c-86e7-c36559163034,69a1071b-a779-4cf2-aa05-46392822d1ae,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094266+00:00,2025-07-01,
5ed17b93-942b-4e93-a09a-a396d3f3379b,3fa46a24-317d-4c55-b0e7-dec92d9b80be,e8203d66-cfd7-46a3-82c4-ccbd335a3b96,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094271+00:00,2025-07-01,
fb92cf07-e5db-420c-a801-c0a55db80731,a484feef-a162-4642-a74b-ac25da67030b,623db51f-7c99-455c-b89f-b39546dbca2f,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094275+00:00,2025-07-01,
c13fd3cc-2454-43ce-ab05-84e4c560ceb7,31498ac0-bf25-4fdd-8e14-695daf829ad0,667157d8-aa03-462a-9314-44006671b766,true,generated,regional-alignment,0.92,2026-07-01T20:19:10.094280+00:00,2025-07-01,
