id,rep_id,product_id,product_name,product_sku,is_primary,specialization,effective_start_date,effective_end_date,source_system,created_at
f5bd69c4-b74f-47f2-9387-de8c5dc67be5,79958e89-4a5b-444f-8b4d-52fba376e324,66e59463-0053-4f7c-acc6-39270901c078,Enterprise Suite,SAAS-SKU-001,true,oversight,2026-01-01,,generated,2026-07-01T20:19:10.093968+00:00
5b936ea4-d125-43a3-aa2d-a013b892baf8,79958e89-4a5b-444f-8b4d-52fba376e324,7fd7ffdf-10ff-4772-8214-42c1991a3331,Pro Platform,SAAS-SKU-002,false,oversight,2026-01-01,,generated,2026-07-01T20:19:10.093973+00:00
68d66f5f-629b-48d3-bd8d-47df4f077fb3,28615fdd-f208-43f5-9830-15dfe9f1e754,66e59463-0053-4f7c-acc6-39270901c078,Enterprise Suite,SAAS-SKU-001,true,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.093978+00:00
2b22c52c-f4c1-4079-aeaa-ac43d1ed3cc8,28615fdd-f208-43f5-9830-15dfe9f1e754,7fd7ffdf-10ff-4772-8214-42c1991a3331,Pro Platform,SAAS-SKU-002,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.093982+00:00
6b6ba6d3-3379-4b80-b994-b092551a23dc,28615fdd-f208-43f5-9830-15dfe9f1e754,9f114a50-e2db-4e11-a8b0-6286a225db56,Growth Package,SAAS-SKU-003,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.093987+00:00
9da51c2d-eaa5-404d-82ae-25408d14ff77,5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,66e59463-0053-4f7c-acc6-39270901c078,Enterprise Suite,SAAS-SKU-001,true,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.093991+00:00
54fe8ac9-b2fc-4bc5-8336-32408e55ab4c,5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,7fd7ffdf-10ff-4772-8214-42c1991a3331,Pro Platform,SAAS-SKU-002,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.093995+00:00
c8909cb0-4a56-4b2f-9ed0-3fde7d97fa78,5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,9f114a50-e2db-4e11-a8b0-6286a225db56,Growth Package,SAAS-SKU-003,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.093999+00:00
f2949b01-a587-4aed-a5a1-95c62fad9d40,0335d118-e8a1-45b1-9098-ea6f51da1b33,66e59463-0053-4f7c-acc6-39270901c078,Enterprise Suite,SAAS-SKU-001,true,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094004+00:00
6089c71a-0cee-4bd3-a29a-72bbdc39fd1c,0335d118-e8a1-45b1-9098-ea6f51da1b33,7fd7ffdf-10ff-4772-8214-42c1991a3331,Pro Platform,SAAS-SKU-002,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094008+00:00
f2f03c00-3258-4fe5-ad9a-a8d5a7e03207,0335d118-e8a1-45b1-9098-ea6f51da1b33,9f114a50-e2db-4e11-a8b0-6286a225db56,Growth Package,SAAS-SKU-003,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094012+00:00
bdbefea5-a55c-4c58-84fd-76cebbd326ee,248abef5-bdf3-44b7-ba1c-a83da97bce81,9f114a50-e2db-4e11-a8b0-6286a225db56,Growth Package,SAAS-SKU-003,true,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094019+00:00
9aed17b8-b133-472b-af1a-f358911524d0,248abef5-bdf3-44b7-ba1c-a83da97bce81,436e3a65-a550-4f5d-afd7-3e7ca81d95d3,Starter Plan,SAAS-SKU-004,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094023+00:00
f4d1a506-101a-49ec-99c4-e9f42d9cf402,248abef5-bdf3-44b7-ba1c-a83da97bce81,dccefc0d-4867-4493-b9bc-6b3a519779b6,Data Add-on,SAAS-SKU-005,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094027+00:00
2ab9f908-94ea-451a-b04d-8f8ef972ff2d,248abef5-bdf3-44b7-ba1c-a83da97bce81,66e59463-0053-4f7c-acc6-39270901c078,Enterprise Suite,SAAS-SKU-001,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094031+00:00
4d161d29-6a89-4cce-ac7e-8a454faf7aaa,c871c852-11fd-4dcb-8e0a-305264beb2b2,66e59463-0053-4f7c-acc6-39270901c078,Enterprise Suite,SAAS-SKU-001,true,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094036+00:00
d7076107-2e9d-4999-876d-7b631851136a,c871c852-11fd-4dcb-8e0a-305264beb2b2,7fd7ffdf-10ff-4772-8214-42c1991a3331,Pro Platform,SAAS-SKU-002,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094041+00:00
7d4eb792-9469-4082-8f0a-32da2b89bb28,c871c852-11fd-4dcb-8e0a-305264beb2b2,9f114a50-e2db-4e11-a8b0-6286a225db56,Growth Package,SAAS-SKU-003,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094045+00:00
51a5cedc-f6b3-439b-9472-61b50af5f1cc,c871c852-11fd-4dcb-8e0a-305264beb2b2,436e3a65-a550-4f5d-afd7-3e7ca81d95d3,Starter Plan,SAAS-SKU-004,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094049+00:00
5c561899-968c-4553-b47b-90480dba5fc7,97b42328-e8b1-47d8-b18a-fd9db794cf35,436e3a65-a550-4f5d-afd7-3e7ca81d95d3,Starter Plan,SAAS-SKU-004,true,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094055+00:00
7d2e0443-3ad5-4973-8ca9-fc19ce43e791,97b42328-e8b1-47d8-b18a-fd9db794cf35,dccefc0d-4867-4493-b9bc-6b3a519779b6,Data Add-on,SAAS-SKU-005,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094059+00:00
3e278ce7-fedf-4f21-9a5d-b50e3e82107a,97b42328-e8b1-47d8-b18a-fd9db794cf35,66e59463-0053-4f7c-acc6-39270901c078,Enterprise Suite,SAAS-SKU-001,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094063+00:00
dad282e4-bdcc-4a67-aaaa-14aaeb2c5dd0,97b42328-e8b1-47d8-b18a-fd9db794cf35,7fd7ffdf-10ff-4772-8214-42c1991a3331,Pro Platform,SAAS-SKU-002,false,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094067+00:00
eaea371e-c80b-4d66-9d4a-b4a30e1feada,926747b3-0605-45e2-b8d0-fcc92bbf0bed,7fd7ffdf-10ff-4772-8214-42c1991a3331,Pro Platform,SAAS-SKU-002,true,primary_seller,2026-01-01,,generated,2026-07-01T20:19:10.094071+00:00
