id,external_id,opportunity_id,account_id,owner_user_id,booked_date,amount,currency,source_system,created_at
8c5aa7b1-b1c2-41df-98dc-41d04fa73345,SU-22a76b44,22a76b44-4b96-499d-9a79-3e8b399c82b5,a5a074f7-3050-4e22-b014-e95bc9a5ae07,3fa46a24-317d-4c55-b0e7-dec92d9b80be,2026-10-03,150095.17,USD,generated,2026-07-01T20:19:10.096571+00:00
806adb43-126f-4fa2-959d-2acedc8d88db,SU-bed5e774,bed5e774-224f-4358-a669-761ab74f27bd,14645904-d094-466e-bc85-455f233f64a1,25b0e4be-cec9-445c-86e7-c36559163034,2025-12-06,97964.28,USD,generated,2026-07-01T20:19:10.096579+00:00
55dec72d-49d0-4653-aa37-c9636387bc12,SU-5ec6d261,5ec6d261-fae6-4868-9a86-baf03e5fe721,2061aaad-27c4-47bf-85a4-4e537272af24,25b0e4be-cec9-445c-86e7-c36559163034,2026-01-24,479043.65,USD,generated,2026-07-01T20:19:10.096583+00:00
1eed608e-ee86-4046-a7b1-f84755b65712,SU-cc9e7364,cc9e7364-da07-41f3-9fe6-658ac081eb0f,b21c6c29-1565-49dc-aee5-11fcaaac9253,25b0e4be-cec9-445c-86e7-c36559163034,2025-08-10,320185.23,USD,generated,2026-07-01T20:19:10.096587+00:00
799f3efe-bb0d-45b9-9214-cec04d706fe3,SU-593e7035,593e7035-ca7a-4cb1-a89d-4c5d22a266ee,14a0b8c4-0db0-414e-b311-758accb44710,a670b503-7f8a-4e15-8f6a-63b63a32d83f,2025-10-09,131827.94,USD,generated,2026-07-01T20:19:10.096591+00:00
169e632a-9934-498e-be8a-f36c9cb8fb4a,SU-643a1f31,643a1f31-3dab-4f71-9601-9bbeac8330a4,108d8190-b1ec-4062-9db8-6e5905c0ee6b,0a8c7ad8-7ff8-4786-93e6-3839947e3bf8,2026-09-14,118277.15,USD,generated,2026-07-01T20:19:10.096596+00:00
9c6fde0c-e243-46ca-8ba5-86ef9ace8a04,SU-a27a20cb,a27a20cb-974d-4feb-a55f-2ad84f781102,4a471bab-84c9-41f7-a68d-66e6cbfe293c,3fa46a24-317d-4c55-b0e7-dec92d9b80be,2026-02-10,247619.05,USD,generated,2026-07-01T20:19:10.096599+00:00
1b3cc610-ed69-47cc-b311-f0f282237edb,SU-53e29d0e,53e29d0e-3e50-430a-aa7d-935f0f2831f3,b8010e99-e386-4f09-a668-e8b4ef8c97a5,8f0b2d71-77f6-40c1-88d7-c3d8757bb43d,2026-05-20,380540.27,USD,generated,2026-07-01T20:19:10.096603+00:00
8c646ac4-f548-4876-bcb0-910397e9c383,SU-e69eaa24,e69eaa24-bdfe-4564-9e9b-30f0e1529795,1df4d81f-4899-40cd-a7d4-23a2dc05e2ae,18f91e7c-5929-4d5e-b4b0-1d355575fa38,2026-06-24,439209.76,USD,generated,2026-07-01T20:19:10.096606+00:00
33696638-6e20-4c0a-9e38-93c9a4ec6761,SU-642838d7,642838d7-d7a5-40f0-90b7-e032de040dec,4451f396-e044-4128-8b34-1dbf63fe62c6,18f91e7c-5929-4d5e-b4b0-1d355575fa38,2025-06-16,486480.56,USD,generated,2026-07-01T20:19:10.096610+00:00
