id,external_id,account_id,owner_user_id,name,stage,amount,close_date,source_system,created_at
560a102c-0897-45bc-8d50-29d394c49051,OPP-FD4CC325,b89dc841-176c-4758-bae6-3d3957311785,8f0b2d71-77f6-40c1-88d7-c3d8757bb43d,Revolutionize Integrated Paradigms Deal,Proposal,301947.58,2026-11-26,generated,2026-05-20T07:55:10
f6be962d-f826-4e63-89f1-a0431e6365b5,OPP-BD838865,12510ba9-b858-45c8-97d6-ba61fff95cc0,efb7b22e-1466-4151-abb7-f51ff235b5e7,Synthesize Transparent Web-Readiness Deal,Qualification,466019.28,2026-08-22,generated,2026-03-14T08:10:50
6568fad2-eee9-4e92-bcaa-76dca35669e8,OPP-22A76B44,a5a074f7-3050-4e22-b014-e95bc9a5ae07,3fa46a24-317d-4c55-b0e7-dec92d9b80be,Transition Robust Initiatives Deal,Closed Won,150095.17,2026-10-10,generated,2026-04-15T09:52:50
bdcb4732-e3bd-44bf-a001-6d919b6d8976,OPP-F099561D,a0705d05-ebfe-49ca-ab4c-6a0aacd35622,e65e297f-4218-43d7-96ef-f7b781e2cf9c,Synthesize Extensible Deliverables Deal,Qualification,197717.88,2026-09-29,generated,2026-05-31T11:41:32
c91b8e1a-a013-48fd-a039-fef49fce243e,OPP-7AED05F7,21dd1255-9569-4e4e-bbac-1c1d529c9d5e,31498ac0-bf25-4fdd-8e14-695daf829ad0,E-Enable Magnetic E-Business Deal,Qualification,486680.27,2025-08-04,generated,2025-04-09T03:38:27
6d83a568-5ca4-4ff1-ac85-cc697b4f03fa,OPP-FA02C019,a0705d05-ebfe-49ca-ab4c-6a0aacd35622,8f0b2d71-77f6-40c1-88d7-c3d8757bb43d,Matrix Customized E-Markets Deal,Negotiation,223337.95,2026-05-05,generated,2025-12-09T22:27:00
ef6d5eeb-a2ca-497e-b5c5-6549503b5030,OPP-E3842B44,14645904-d094-466e-bc85-455f233f64a1,25b0e4be-cec9-445c-86e7-c36559163034,Brand Ubiquitous Interfaces Deal,Negotiation,351782.83,2026-02-10,generated,2025-08-03T19:20:42
93e87991-51b1-40d7-ad55-a36dbdf7e3c8,OPP-C8EB495C,4e0d3a0d-dc65-4214-8244-e01ae2b5291a,a484feef-a162-4642-a74b-ac25da67030b,Optimize Extensible Methodologies Deal,Proposal,350101.81,2025-12-04,generated,2025-07-23T17:08:12
408921bd-1e2e-485b-be85-1ea5fe831fcc,OPP-C15F078D,21a0534d-e53a-4036-b9a0-cd64929fb78c,25b0e4be-cec9-445c-86e7-c36559163034,Redefine Global Vortals Deal,Qualification,306097.36,2026-02-08,generated,2025-09-27T09:18:13
f4267ef1-f886-402a-987e-153534460384,OPP-F3471236,65445953-c22c-4356-ab56-6c43160705cd,8f0b2d71-77f6-40c1-88d7-c3d8757bb43d,Synthesize Distributed Architectures Deal,Proposal,248971.91,2025-09-28,generated,2025-05-16T21:05:18
