id,rep_id,period,grain,revenue,quota,attainment_pct,snapshot_date
bbbbea85-d8d6-4d2c-9b17-4d5baa7146c8,2f57768e-edff-4eae-9153-eaeca2be9514,2025-11,monthly,10436.79,9604.53,108.6653,2026-09-01
c5eeb707-4c67-4f14-a7ab-84631cf7d4a6,2f57768e-edff-4eae-9153-eaeca2be9514,2025-12,monthly,15762.19,9604.53,164.1121,2026-09-01
de1d3edc-0340-4b9b-9b2e-429f9e54224c,2f57768e-edff-4eae-9153-eaeca2be9514,2026-01,monthly,17966.69,24729.89,72.6517,2026-09-01
39f00be0-c349-4cba-a1ba-18c93a3853a4,2f57768e-edff-4eae-9153-eaeca2be9514,2026-02,monthly,17966.69,24729.89,72.6517,2026-09-01
8119a7cd-98c1-4398-8914-41a0a5ccfab0,2f57768e-edff-4eae-9153-eaeca2be9514,2026-03,monthly,20626.06,24729.89,83.4054,2026-09-01
c3ef3905-6ba3-4a5f-98d1-4c7787c6f867,2f57768e-edff-4eae-9153-eaeca2be9514,2026-04,monthly,19124.35,14491.87,131.9661,2026-09-01
e946fef2-a7ab-426a-b5ec-47f76fc7afd6,2f57768e-edff-4eae-9153-eaeca2be9514,2026-05,monthly,19124.35,14491.87,131.9661,2026-09-01
b5ce2310-fac7-452a-a184-62d9ed4097f5,2f57768e-edff-4eae-9153-eaeca2be9514,2026-06,monthly,17325.58,14491.87,119.5538,2026-09-01
bf0f12ad-1b6d-46cf-83cb-ca650bfb47f3,2f57768e-edff-4eae-9153-eaeca2be9514,2026-07,monthly,17087.68,17661.95,96.7485,2026-09-01
91af2075-2824-48be-b0b8-e8adf7971ec2,2f57768e-edff-4eae-9153-eaeca2be9514,2026-08,monthly,19562.43,17661.95,110.7603,2026-09-01
62ca252f-29f4-43ac-9ec7-e71128f03252,2f57768e-edff-4eae-9153-eaeca2be9514,2026-09,monthly,24615.13,17661.95,139.3681,2026-09-01
41dd2742-5a94-48d6-9e5b-a92636aa6e3e,f61e3218-5e2d-439b-8b66-aad1cb7e037e,2026-04,monthly,14029.83,18678.32,75.1129,2026-09-01
185cca00-3456-4b7d-b62f-959d6e48e104,f61e3218-5e2d-439b-8b66-aad1cb7e037e,2026-05,monthly,20419.68,18678.32,109.3229,2026-09-01
d1e1fe5a-14f4-44bb-b300-427d08c7f5f8,f61e3218-5e2d-439b-8b66-aad1cb7e037e,2026-06,monthly,20419.68,18678.32,109.3229,2026-09-01
751a166c-fef8-4e48-8365-e6e5d4f55363,f61e3218-5e2d-439b-8b66-aad1cb7e037e,2026-07,monthly,18029.27,14143.0,127.4784,2026-09-01
97608b8e-d18f-4b74-bdc5-d70d02f91239,f61e3218-5e2d-439b-8b66-aad1cb7e037e,2026-08,monthly,14946.05,14143.0,105.6781,2026-09-01
6cc60f56-0ad8-4a38-a894-996a9397967e,f61e3218-5e2d-439b-8b66-aad1cb7e037e,2026-09,monthly,14946.05,14143.0,105.6781,2026-09-01
eb882c3d-1796-4f3c-9c42-9dda0f22ff5a,fc933254-1509-4dc5-9dbf-67455f3bd728,2026-09,monthly,16659.71,13036.53,127.7926,2026-09-01
67248df2-33f8-4db5-9e3e-87b51a2ecb4e,645d5f16-eab8-4b66-b614-b170c42fcd94,2024-08,monthly,4582.5,2257.72,202.9706,2026-09-01
5706d02c-a612-4abe-b379-30d1ed7d2107,645d5f16-eab8-4b66-b614-b170c42fcd94,2024-09,monthly,4582.5,2257.72,202.9706,2026-09-01
5f8d544c-74c9-4817-8f2d-d72a39b86f8b,645d5f16-eab8-4b66-b614-b170c42fcd94,2024-10,monthly,4582.5,3983.21,115.0455,2026-09-01
416b5e82-2b03-4073-bedd-dcfe33557b86,645d5f16-eab8-4b66-b614-b170c42fcd94,2024-11,monthly,4582.5,3983.21,115.0455,2026-09-01
a742fa29-5988-4951-9e02-32e0d33293b6,645d5f16-eab8-4b66-b614-b170c42fcd94,2024-12,monthly,4582.5,3983.21,115.0455,2026-09-01
cf6bd0fb-7855-45e7-8e34-01b2350007e8,645d5f16-eab8-4b66-b614-b170c42fcd94,2025-01,monthly,4582.5,4056.0,112.9808,2026-09-01
f8b0bd9c-a9fe-4b4c-98f8-3c6aafe023db,645d5f16-eab8-4b66-b614-b170c42fcd94,2025-02,monthly,4582.5,4056.0,112.9808,2026-09-01
e1c553fb-9b76-46f9-8332-022a48e97cbb,645d5f16-eab8-4b66-b614-b170c42fcd94,2025-03,monthly,4582.5,4056.0,112.9808,2026-09-01
233318f2-f721-48e6-8e8e-316863a8fdb7,645d5f16-eab8-4b66-b614-b170c42fcd94,2025-04,monthly,3715.54,5862.95,63.3733,2026-09-01
9436cde4-cf35-4d94-9381-dcbccf2b2881,645d5f16-eab8-4b66-b614-b170c42fcd94,2025-05,monthly,3715.54,5862.95,63.3733,2026-09-01
88233ad7-97a8-469f-b736-6c8afd7b5384,645d5f16-eab8-4b66-b614-b170c42fcd94,2025-06,monthly,3715.54,5862.95,63.3733,2026-09-01
0e078324-2b48-4fb8-b309-8d1502315a77,645d5f16-eab8-4b66-b614-b170c42fcd94,2025-07,monthly,3715.54,1072.57,346.4147,2026-09-01
dcc39393-4611-4e02-ae91-0ddf7eb58b2d,2f57768e-edff-4eae-9153-eaeca2be9514,2023-12,monthly,1194.42,357.97,333.6617,2026-09-01
9e1ceec5-cc2c-4d92-9827-edc778a859a5,2f57768e-edff-4eae-9153-eaeca2be9514,2024-01,monthly,4067.03,4456.41,91.2625,2026-09-01
