rep_id,period,months_since_hire,ramp_factor,quota_at_ramp,full_quota,is_ramping
79958e89-4a5b-444f-8b4d-52fba376e324,2026-07,51,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2026-06,50,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2026-05,49,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2026-04,48,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2026-03,47,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2026-02,46,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2026-01,45,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2025-12,44,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2025-11,43,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2025-10,42,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2025-09,41,1.0,50000.0,50000.0,false
79958e89-4a5b-444f-8b4d-52fba376e324,2025-08,40,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-07,62,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-06,61,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-05,60,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-04,59,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-03,58,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-02,57,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2026-01,56,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2025-12,55,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2025-11,54,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2025-10,53,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2025-09,52,1.0,50000.0,50000.0,false
28615fdd-f208-43f5-9830-15dfe9f1e754,2025-08,51,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-07,72,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-06,71,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-05,70,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-04,69,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-03,68,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-02,67,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2026-01,66,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2025-12,65,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2025-11,64,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2025-10,63,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2025-09,62,1.0,50000.0,50000.0,false
5f3f33ca-d46b-41bb-b3d6-b88dfbb7137e,2025-08,61,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-07,54,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-06,53,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-05,52,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-04,51,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-03,50,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-02,49,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2026-01,48,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2025-12,47,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2025-11,46,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2025-10,45,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2025-09,44,1.0,50000.0,50000.0,false
0335d118-e8a1-45b1-9098-ea6f51da1b33,2025-08,43,1.0,50000.0,50000.0,false
248abef5-bdf3-44b7-ba1c-a83da97bce81,2026-07,85,1.0,50000.0,50000.0,false
248abef5-bdf3-44b7-ba1c-a83da97bce81,2026-06,84,1.0,50000.0,50000.0,false
248abef5-bdf3-44b7-ba1c-a83da97bce81,2026-05,83,1.0,50000.0,50000.0,false
248abef5-bdf3-44b7-ba1c-a83da97bce81,2026-04,82,1.0,50000.0,50000.0,false
