id,user_id,plan_id,period,payout_amount,commission_rate,fallback_used,confidence,source_system,created_at
dfb1ea46-9cab-409a-8f03-36e460fb43dc,11d26a12-fbd7-4fab-a129-30a4b12a2caa,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399408
133f4f07-1696-44e1-bd7d-c179594646fc,24a0c836-5031-4de3-b3c9-2a32238d877e,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399414
f4cacf00-6bed-4941-afae-3cc54dcca402,267f073a-4995-4f69-a38c-ad618b556e02,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,2194.78,0.080000,false,1.0000,generated,2026-09-01T16:48:40.399416
c1ce7986-a205-4018-aedf-55640740fa2e,702c532f-ca49-43eb-99ab-f2ac307eeed3,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399419
5650862b-3f7e-471d-b6e0-b5be8bb603f3,70cc9f0c-4ec2-44b0-a11a-eed97b767966,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,2136.28,0.080000,false,1.0000,generated,2026-09-01T16:48:40.399421
e08d2713-9e0e-45c6-85a7-6ce7c8837b92,70ce7b4a-1b36-4e0c-8de2-12302c339003,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399424
a8618308-d762-4ddd-b906-0151cd3d98de,796823cc-2a02-4ffe-b8e1-14b15fb0dd89,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399426
60c756e3-6bde-496b-b60e-218050bb2b6c,88f339fc-9c3d-47b4-a5fc-4bd590444010,,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399428
51c3865f-562e-4ed4-8308-dc2d0eec9a82,8fd5709d-74ea-4549-82db-4b0cca6ce586,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,3252.80,0.100000,false,1.0000,generated,2026-09-01T16:48:40.399431
d3477946-153f-4925-86b5-f08a65397d46,916e5989-b156-460d-97f3-ee43dd0b8704,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399433
38f3ec3e-c5c5-4f7d-b7e9-32ef88a0b114,a261a7f8-4161-4af1-9eea-41d3e419102a,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399435
8b111f05-ee8a-4e22-bee1-f9d851790365,d42e8b4d-03c4-40db-8d9c-c0af3a2cd326,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399438
b3687867-f772-4df1-a18c-7e80b764eb23,deee41fb-4f68-4d59-8a54-766b7ad373c7,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,2946.13,0.080000,false,1.0000,generated,2026-09-01T16:48:40.399440
a8e5abb8-1af5-475e-a7a2-d83e39bf52ea,f5334114-511f-4f6a-8f3c-74d28c1386c2,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2023-Q4,2097.96,0.080000,false,1.0000,generated,2026-09-01T16:48:40.399442
f11a30d6-c791-4105-bec7-678cbb557b90,11d26a12-fbd7-4fab-a129-30a4b12a2caa,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399445
8a515665-9922-4ada-bb0c-1c3aee8734e7,24a0c836-5031-4de3-b3c9-2a32238d877e,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399447
41f27883-4c78-450f-83da-29da16166983,267f073a-4995-4f69-a38c-ad618b556e02,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,2782.27,0.100000,false,1.0000,generated,2026-09-01T16:48:40.399449
128ecc9d-6866-400e-8d26-7afd9bda5e11,702c532f-ca49-43eb-99ab-f2ac307eeed3,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399452
1c0453dd-cffa-47d8-a78a-df2e35fbcb37,70cc9f0c-4ec2-44b0-a11a-eed97b767966,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,139.47,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399454
f15f755f-af6d-4c31-aa4a-dd0df27d3def,70ce7b4a-1b36-4e0c-8de2-12302c339003,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399456
da7de076-ab16-4ca7-b87d-147e2dba84f1,796823cc-2a02-4ffe-b8e1-14b15fb0dd89,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399458
a4dc6c77-8c84-49d4-b8f7-018984527700,88f339fc-9c3d-47b4-a5fc-4bd590444010,,2024-Q1,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399461
df82d31e-4571-4931-905b-8a9a51fa15ea,8fd5709d-74ea-4549-82db-4b0cca6ce586,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,2997.54,0.080000,false,1.0000,generated,2026-09-01T16:48:40.399463
89ea48c2-1cef-4b52-bdb1-b3ffffdf5ef2,916e5989-b156-460d-97f3-ee43dd0b8704,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399465
694e62ce-5f0c-4ec6-8b0b-e58a799f0271,a261a7f8-4161-4af1-9eea-41d3e419102a,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399467
f8c14a7f-834f-4c40-b9d4-c54b3f33d2d1,d42e8b4d-03c4-40db-8d9c-c0af3a2cd326,e9fabc86-1df7-48eb-9b29-e47895a3b65d,2024-Q1,0.00,0.030000,false,1.0000,generated,2026-09-01T16:48:40.399470
