id,user_id,plan_id,effective_start_date,effective_end_date,source_system,mapping_basis,evidence_score,created_at
c234473b-ab8c-4017-9dd6-7a342bf06302,1ea42686-14bb-4ed5-a1ea-63479a29fbb1,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445928+00:00
cdd06152-d408-460a-84f5-eaf2c34c54bc,686088e7-85c1-4e23-9aee-ef370e8a4c96,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445933+00:00
2b08de6a-f4ca-4e2b-a79f-56a91a14213a,39d941b1-974c-4bf8-b50e-097d461bd698,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445938+00:00
9d393d1e-0fd5-403c-b6c2-5447fd4777ea,54cd6ec3-52ff-409d-9706-1d71cae99059,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445942+00:00
759fd3d0-aeb0-49ed-bb32-fdb5e3a95ea2,b8041dd2-c08f-4797-9237-1560e1fbe587,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445946+00:00
e715dee9-55b6-4613-b447-a79e5c5942b0,a08c9a3e-e0b2-4016-b012-c4a8640dac2c,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445951+00:00
e90dc0df-ceeb-4eb0-829e-4df5a2bca421,c681153b-a38a-421d-aa5a-e454d7de9d83,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445956+00:00
156a0479-17f7-4bde-a20e-1574ecec2217,1f0ca9e5-9ab3-465b-aee6-43a85c30b1b7,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445960+00:00
d76a946e-a032-4daa-a9e2-fd0ae1cc5456,b27024de-093b-4584-9d94-50fcae45b111,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445965+00:00
59ce787d-cd0d-454e-8020-7d43aba14b82,965f0370-8af4-4e44-a867-9d0b56cc19c4,74260764-d2c1-466f-9b3c-37478200d35e,2026-01-01,,generated,role-based,0.95,2026-09-02T17:47:12.445969+00:00
