id,external_id,account_id,owner_user_id,source,status,score,created_at,source_system
73fc16ba-b0ca-4814-80ea-cfa32dde9bae,LEAD-32774967,568e964a-48d1-4429-a400-795a53fb234d,b1b5357e-33a5-4f1d-a3c2-cd5e7844e762,referral,disqualified,46.1,2026-09-01T16:48:37.895713+00:00,generated
f99b53ec-6b4f-4ef8-9b74-5c8acfb0cdbc,LEAD-95EDDC2A,568e964a-48d1-4429-a400-795a53fb234d,b1b5357e-33a5-4f1d-a3c2-cd5e7844e762,event,converted,89.8,2026-09-01T16:48:37.895721+00:00,generated
f99c8f3a-0818-49d7-9fc5-23b43977af48,LEAD-06B73CAF,91ae2fc2-0f56-4f0f-ae42-6a0f05d0d688,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,paid_ads,converted,78.3,2026-09-01T16:48:37.895729+00:00,generated
b0fb75eb-49d2-434d-871b-1e49f4ec71d0,LEAD-D7BA3751,91ae2fc2-0f56-4f0f-ae42-6a0f05d0d688,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,referral,qualified,59.3,2026-09-01T16:48:37.895735+00:00,generated
236d91a0-e559-443c-b8e9-1d47145e3b98,LEAD-D5ADB126,91ae2fc2-0f56-4f0f-ae42-6a0f05d0d688,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,partner,qualified,31.2,2026-09-01T16:48:37.895741+00:00,generated
2626d176-5ab2-43c2-965a-eb756c60f3ae,LEAD-A41A9796,e75dcfe1-22a0-4d15-a6c2-7190a694a9cd,3fa0c96e-f7b7-454e-9094-77c12fa0030e,paid_ads,new,94.8,2026-09-01T16:48:37.895747+00:00,generated
73071ee3-3348-407a-9ca8-8d124904b620,LEAD-29FC3D04,3af97d4d-d6a6-48cf-9345-c1cef532f1f3,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,outbound_sdx,contacted,52.4,2026-09-01T16:48:37.895753+00:00,generated
2f33afae-5e3d-4b35-8703-f7373598c174,LEAD-FDE6AB34,3af97d4d-d6a6-48cf-9345-c1cef532f1f3,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,outbound_sdx,disqualified,29.9,2026-09-01T16:48:37.895759+00:00,generated
fbd68e08-4bdf-416b-86b3-0902acb0c91a,LEAD-871FCAB6,3af97d4d-d6a6-48cf-9345-c1cef532f1f3,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,partner,new,75.9,2026-09-01T16:48:37.895764+00:00,generated
0fa20b37-5187-45b8-9351-4a5a6a679314,LEAD-648CBD51,56200b11-c589-468c-9185-7792fced4d1a,b1b5357e-33a5-4f1d-a3c2-cd5e7844e762,event,qualified,78.0,2026-09-01T16:48:37.895791+00:00,generated
5204a5b3-232a-4a84-a058-2e7272d10e55,LEAD-694016C1,56200b11-c589-468c-9185-7792fced4d1a,b1b5357e-33a5-4f1d-a3c2-cd5e7844e762,outbound_sdx,new,56.1,2026-09-01T16:48:37.895797+00:00,generated
b3939a96-8d5b-4b9a-9302-f4b96b148c8f,LEAD-EE8D645E,929520a3-adba-4a8f-83ce-d13396d7d367,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,partner,converted,38.5,2026-09-01T16:48:37.895803+00:00,generated
7817b156-5ea6-4c3d-82db-89d6486ba57c,LEAD-96D09D1B,929520a3-adba-4a8f-83ce-d13396d7d367,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,event,new,44.3,2026-09-01T16:48:37.895809+00:00,generated
ca313b68-bdd1-41d5-8852-3034e0fd3a76,LEAD-0A9C76D6,929520a3-adba-4a8f-83ce-d13396d7d367,fad8552c-9b84-47a0-b8f7-05fdd357a7e7,inbound_web,converted,28.4,2026-09-01T16:48:37.895815+00:00,generated
04bbe8c8-391d-42a2-b39e-11ac84d316cc,LEAD-23D4AA50,4c86938b-9190-4ffb-aed0-569e2d3106bc,3fa0c96e-f7b7-454e-9094-77c12fa0030e,partner,converted,81.6,2026-09-01T16:48:37.895822+00:00,generated
a5777a99-8a5c-4ecb-ac7e-ef56674a4b55,LEAD-1A9D6E72,4c86938b-9190-4ffb-aed0-569e2d3106bc,3fa0c96e-f7b7-454e-9094-77c12fa0030e,partner,converted,30.9,2026-09-01T16:48:37.895827+00:00,generated
49b365c0-7f60-43a4-857c-817287ab1ec3,LEAD-5C14B5E3,be3dd724-012a-4cc7-99e9-6113a120917f,269a9f1c-64ea-4af1-8740-cc13abcbe124,paid_ads,new,84.0,2026-09-01T16:48:37.895834+00:00,generated
b1ece158-eaf5-49fb-adb3-e1f09b70c894,LEAD-3CD5BB2E,91d273bd-f5f4-4964-8ae8-8f9ea74e7ac4,9b16b660-0add-42e7-a321-a131c4a5b395,paid_ads,new,80.3,2026-09-01T16:48:37.895840+00:00,generated
58b1c64a-9c06-4178-a07e-5d8f516d2ce1,LEAD-51660AA5,d19e9758-fb64-4838-b796-fbc8b9ada334,bf84db92-020a-48f4-bdbf-f9828a18d72b,referral,contacted,61.2,2026-09-01T16:48:37.895846+00:00,generated
14642bbc-c8f3-4cc0-bb5c-b91ba4c24576,LEAD-77167B12,43feaba3-9a81-41ad-bb57-82b00c78b618,608c3ce0-1ea1-41e1-af47-9d2654bcb6d1,paid_ads,qualified,59.5,2026-09-01T16:48:37.895853+00:00,generated
c115d066-707f-47db-a40e-7a4805c6d5e0,LEAD-6A02E5CD,9447cd4e-0f91-4e7a-88a8-d8383edf87dc,608c3ce0-1ea1-41e1-af47-9d2654bcb6d1,inbound_web,contacted,25.0,2026-09-01T16:48:37.895859+00:00,generated
14823e99-6252-4c58-a5bf-65f76755d208,LEAD-7FD62010,9447cd4e-0f91-4e7a-88a8-d8383edf87dc,608c3ce0-1ea1-41e1-af47-9d2654bcb6d1,paid_ads,disqualified,83.9,2026-09-01T16:48:37.895864+00:00,generated
fcf749b2-9510-4912-9d0f-125e3d204dba,LEAD-1E2CBC4C,6352783f-958f-4110-8cec-062c442ddbe4,608c3ce0-1ea1-41e1-af47-9d2654bcb6d1,paid_ads,qualified,49.0,2026-09-01T16:48:37.895871+00:00,generated
f9f02aaf-eea1-4714-9c18-f37b1cf37916,LEAD-7FFD5366,52ddeca2-dd82-4ad1-b4a3-993b0aba627b,b1b5357e-33a5-4f1d-a3c2-cd5e7844e762,event,converted,85.0,2026-09-01T16:48:37.895877+00:00,generated
8af6c166-be49-407d-919e-5d2c3dac1b69,LEAD-39E23F36,52ddeca2-dd82-4ad1-b4a3-993b0aba627b,b1b5357e-33a5-4f1d-a3c2-cd5e7844e762,outbound_sdx,contacted,34.9,2026-09-01T16:48:37.895882+00:00,generated
2e7542fd-77c8-4564-a1da-50074806d528,LEAD-E629BAD3,52ddeca2-dd82-4ad1-b4a3-993b0aba627b,b1b5357e-33a5-4f1d-a3c2-cd5e7844e762,partner,converted,89.5,2026-09-01T16:48:37.895888+00:00,generated
d8f9e33c-614a-4f3d-9abd-6286a94947fb,LEAD-9FDB2307,79604163-2ebc-4aef-ad73-fc675fb42080,f3f282e3-55d2-4963-b51a-1d8605534d9b,outbound_sdx,qualified,21.4,2026-09-01T16:48:37.895894+00:00,generated
f64cfa44-fefb-4f12-b6ef-018c01856b2b,LEAD-2498693D,79604163-2ebc-4aef-ad73-fc675fb42080,f3f282e3-55d2-4963-b51a-1d8605534d9b,referral,disqualified,66.9,2026-09-01T16:48:37.895900+00:00,generated
418f05cc-2281-4978-9421-6bd7557de260,LEAD-7EDA0B87,f427c72b-3780-4f0a-ae1a-e8b3982a8c76,9b16b660-0add-42e7-a321-a131c4a5b395,paid_ads,converted,39.3,2026-09-01T16:48:37.895906+00:00,generated
