rep_id,period,mrr_new,mrr_expansion,mrr_contraction,mrr_churn,mrr_renewal,mrr_net,arr_start,arr_end
a33f5b72-3754-4c7d-a770-fb8205f226e0,2025-05,0.0,0.0,0.0,0.0,0.0,0.0,63082.13,63082.13
a33f5b72-3754-4c7d-a770-fb8205f226e0,2025-06,0.0,0.0,0.0,0.0,542.74,542.74,63082.13,63082.13
a33f5b72-3754-4c7d-a770-fb8205f226e0,2025-07,0.0,0.0,0.0,0.0,542.74,542.74,63082.13,63082.13
a33f5b72-3754-4c7d-a770-fb8205f226e0,2025-08,0.0,66.7,0.0,0.0,542.74,609.44,63082.13,63882.53
a33f5b72-3754-4c7d-a770-fb8205f226e0,2025-09,0.0,0.0,0.0,0.0,1143.97,1143.97,63882.53,63882.53
a33f5b72-3754-4c7d-a770-fb8205f226e0,2025-10,0.0,0.0,0.0,0.0,1143.97,1143.97,63882.53,63882.53
a33f5b72-3754-4c7d-a770-fb8205f226e0,2025-11,0.0,0.0,0.0,0.0,1143.97,1143.97,63882.53,63882.53
a33f5b72-3754-4c7d-a770-fb8205f226e0,2025-12,0.0,0.0,0.0,0.0,1143.97,1143.97,63882.53,63882.53
a33f5b72-3754-4c7d-a770-fb8205f226e0,2026-01,0.0,27.8,0.0,0.0,1143.97,1171.77,63882.53,64216.13
a33f5b72-3754-4c7d-a770-fb8205f226e0,2026-02,0.0,0.0,0.0,-119.04,1143.97,1024.93,64216.13,62787.65
a33f5b72-3754-4c7d-a770-fb8205f226e0,2026-03,0.0,0.0,0.0,0.0,1143.97,1143.97,62787.65,62787.65
a33f5b72-3754-4c7d-a770-fb8205f226e0,2026-04,0.0,123.71,0.0,0.0,1143.97,1267.68,62787.65,64272.17
a33f5b72-3754-4c7d-a770-fb8205f226e0,2026-05,0.0,123.71,0.0,0.0,1143.97,1267.68,64272.17,65756.69
a33f5b72-3754-4c7d-a770-fb8205f226e0,2026-06,0.0,229.8,0.0,0.0,1143.97,1373.77,65756.69,68514.29
a33f5b72-3754-4c7d-a770-fb8205f226e0,2026-07,0.0,229.8,0.0,0.0,1143.97,1373.77,68514.29,71271.89
c260e256-cef6-40a3-a3af-1cc136e02508,2025-05,0.0,0.0,0.0,0.0,0.0,0.0,46166.3,46166.3
c260e256-cef6-40a3-a3af-1cc136e02508,2025-06,0.0,0.0,0.0,0.0,0.0,0.0,46166.3,46166.3
c260e256-cef6-40a3-a3af-1cc136e02508,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,46166.3,46166.3
c260e256-cef6-40a3-a3af-1cc136e02508,2025-08,0.0,0.0,0.0,0.0,0.0,0.0,46166.3,46166.3
c260e256-cef6-40a3-a3af-1cc136e02508,2025-09,0.0,0.0,0.0,0.0,0.0,0.0,46166.3,46166.3
c260e256-cef6-40a3-a3af-1cc136e02508,2025-10,0.0,0.0,0.0,0.0,0.0,0.0,46166.3,46166.3
c260e256-cef6-40a3-a3af-1cc136e02508,2025-11,0.0,0.0,0.0,0.0,0.0,0.0,46166.3,46166.3
c260e256-cef6-40a3-a3af-1cc136e02508,2025-12,0.0,0.0,0.0,0.0,0.0,0.0,46166.3,46166.3
c260e256-cef6-40a3-a3af-1cc136e02508,2026-01,169.82,0.0,0.0,0.0,0.0,169.82,46166.3,48204.14
c260e256-cef6-40a3-a3af-1cc136e02508,2026-02,169.82,0.0,0.0,0.0,0.0,169.82,48204.14,50241.98
c260e256-cef6-40a3-a3af-1cc136e02508,2026-03,766.08,0.0,0.0,0.0,576.63,1342.71,50241.98,59434.94
c260e256-cef6-40a3-a3af-1cc136e02508,2026-04,766.08,0.0,0.0,0.0,576.63,1342.71,59434.94,68627.9
c260e256-cef6-40a3-a3af-1cc136e02508,2026-05,766.08,0.0,0.0,0.0,576.63,1342.71,68627.9,77820.86
c260e256-cef6-40a3-a3af-1cc136e02508,2026-06,766.08,0.0,0.0,0.0,576.63,1342.71,77820.86,87013.82
c260e256-cef6-40a3-a3af-1cc136e02508,2026-07,766.08,0.0,0.0,0.0,576.63,1342.71,87013.82,96206.78
