rep_id,manager_rep_id,role,level,effective_start_date,effective_end_date,source_system
8f6622df-c77a-4e88-a19d-4c4bc1661772,,Chief Revenue Officer,L0,2024-09-01,,generated
60a6708d-6583-4a02-821f-0753fd73ab00,8f6622df-c77a-4e88-a19d-4c4bc1661772,Sales Manager,L4,2024-09-01,,generated
8caaa8ca-69fa-4924-906d-642d1b98e019,8f6622df-c77a-4e88-a19d-4c4bc1661772,Sales Manager,L4,2024-09-01,,generated
9454ed17-4a77-4280-93f1-080b65699d5a,60a6708d-6583-4a02-821f-0753fd73ab00,Sales Development Representative,L5,2024-09-01,,generated
3e7e796c-a084-440e-97d5-135b721f3e2f,8caaa8ca-69fa-4924-906d-642d1b98e019,Sales Development Representative,L5,2024-09-01,,generated
f4040e67-58f6-4870-a447-f5df54bd90ed,60a6708d-6583-4a02-821f-0753fd73ab00,Account Executive,L5,2024-09-01,,generated
15b4ba21-a596-4e13-a1e1-c68f2602f414,8caaa8ca-69fa-4924-906d-642d1b98e019,Senior Account Executive,L5,2024-09-01,,generated
a7be73f0-3ccf-46aa-b3a1-a7edd9b3e944,60a6708d-6583-4a02-821f-0753fd73ab00,Senior Account Executive,L5,2024-09-01,,generated
6e73bb15-6226-4fe0-ba64-22e193e22b81,8caaa8ca-69fa-4924-906d-642d1b98e019,Sales Development Representative,L5,2024-09-01,,generated
37c91720-936f-438f-91eb-d7375b79b897,60a6708d-6583-4a02-821f-0753fd73ab00,Senior Account Executive,L5,2024-09-01,,generated
