booking_id,deal_id,rep_id,account_id,booking_date,amount,arr,mrr,product_sku,contract_term_months,revenue_type,recognition_start_date
8045bf1a-8518-4ed6-83a0-d28785e014d3,957f27ea-e176-4c28-b381-e45ed9f2e194,9454ed17-4a77-4280-93f1-080b65699d5a,09c35006-40e8-4852-8ccb-14615da65d7d,2025-11-03,215508.88,71836.29,5986.36,SKU-TERM-LIFE-PO,36,expansion,2025-11-03
50deac3c-50e4-4b5e-a9b2-4dd78e4bbb7d,59f52d0a-b44f-49e2-9825-d126cba7c912,37c91720-936f-438f-91eb-d7375b79b897,9447cd4e-0f91-4e7a-88a8-d8383edf87dc,2026-05-13,78393.61,78393.61,6532.8,SKU-LONG-TERM-CA,12,new_logo,2026-05-13
8c2cba74-1c6d-47d3-8616-87c073e245e2,5f7a9360-8cba-42fe-bad9-9cc8589be03f,15b4ba21-a596-4e13-a1e1-c68f2602f414,92242ffe-d079-47cd-bfb9-35b5fe06ac53,2026-11-16,210754.29,70251.43,5854.29,SKU-GROUP-HEALTH,36,new_logo,2026-11-16
d8879eda-aa0a-4ad7-bed5-9bdb5ee8251a,fb98a822-99d4-4162-8ea1-3b6fc0eaf7ee,3e7e796c-a084-440e-97d5-135b721f3e2f,b5654b07-e926-459e-bd36-4cc757275234,2024-09-15,220129.96,73376.65,6114.72,SKU-PROPERTY-&-C,36,new_logo,2024-09-15
93ece13f-541a-491f-845b-704578d2bc6f,cb798bd8-2d5d-46bc-a99d-c822ea3cf39b,37c91720-936f-438f-91eb-d7375b79b897,bae529ba-e182-4e43-81b2-950478b48221,2024-01-16,63362.05,63362.05,5280.17,SKU-FIXED-ANNUIT,12,renewal,2024-01-16
5a090ae4-49e5-48e4-a960-9dafd3e36364,86a4ded6-a15f-4dfd-a230-6f63ec3cb24e,a7be73f0-3ccf-46aa-b3a1-a7edd9b3e944,a1a94535-5824-41a4-8f17-7d71063c2708,2026-02-24,94033.74,47016.87,3918.07,SKU-WHOLE-LIFE-P,24,renewal,2026-02-24
bab38c7a-d5cb-4b9e-a422-7cbce90e8a3f,96fe94b8-3a32-4e2f-9088-225a186bc7e5,a7be73f0-3ccf-46aa-b3a1-a7edd9b3e944,91ae2fc2-0f56-4f0f-ae42-6a0f05d0d688,2025-11-05,62819.91,62819.91,5234.99,SKU-TERM-LIFE-PO,12,expansion,2025-11-05
96268c0d-2e72-4de7-9a13-a686524c7170,18a839f7-2e48-4c9b-8ffc-27e666cb042b,37c91720-936f-438f-91eb-d7375b79b897,27260fa6-cda0-482a-a064-57cf871ebafc,2026-07-25,39698.93,39698.93,3308.24,SKU-WORKERS-COMP,12,renewal,2026-07-25
d66a596d-a289-4f74-a416-dd7b12cc0180,da385c00-d5de-4159-a947-c25e225245b0,37c91720-936f-438f-91eb-d7375b79b897,3af97d4d-d6a6-48cf-9345-c1cef532f1f3,2024-12-14,99430.24,49715.12,4142.93,SKU-WHOLE-LIFE-P,24,renewal,2024-12-14
9a277a3a-f6aa-476f-997a-b23f4e1af8de,edcb1e59-2c53-4c62-b5ba-1f361631c906,9454ed17-4a77-4280-93f1-080b65699d5a,4ebc6370-616f-4a04-9bfc-ab235ebd4c7a,2026-04-24,261499.52,87166.51,7263.88,SKU-COMMERCIAL-L,36,new_logo,2026-04-24
291705ce-42c5-491b-84be-56631d5caa5e,36697146-5b15-42d6-aa26-ac5d757fb7be,a7be73f0-3ccf-46aa-b3a1-a7edd9b3e944,cd172079-7a21-4d91-b75f-e053282aabf5,2025-06-08,119269.4,59634.7,4969.56,SKU-COMMERCIAL-L,24,expansion,2025-06-08
c618b870-14d1-4a2e-b97a-eb1981a52444,38d2488f-fda3-4962-b7b8-d16f96823852,37c91720-936f-438f-91eb-d7375b79b897,707abf81-be35-4a22-81cb-a7ebde06331f,2024-02-13,148474.45,74237.23,6186.44,SKU-WORKERS-COMP,24,new_logo,2024-02-13
550ac6df-7a42-4737-9f99-1a36118fb595,02885724-ecef-4d2c-ab4d-48530e4f01f6,8caaa8ca-69fa-4924-906d-642d1b98e019,ed2a7e47-fa73-4b74-8994-3d504863447a,2026-01-28,164934.38,82467.19,6872.27,SKU-WORKERS-COMP,24,new_logo,2026-01-28
9d48706c-3932-4303-bc8b-0e1e1a3396a0,2b9c7868-6f37-4e62-8459-d38796b2bc79,6e73bb15-6226-4fe0-ba64-22e193e22b81,98d944ed-e5bd-4ade-a0a9-ec09b62ea863,2026-07-12,292745.78,97581.93,8131.83,SKU-COMMERCIAL-L,36,new_logo,2026-07-12
a6f7b0b3-ab42-4a0f-b146-d196632e18c8,be3135f6-c43a-4918-aae3-a9da31e2bf32,a7be73f0-3ccf-46aa-b3a1-a7edd9b3e944,68692788-93ee-462f-a68c-e9ab710f0d24,2023-11-29,266849.42,88949.81,7412.48,SKU-MEDICARE-SUP,36,expansion,2023-11-29
65f65c5d-6883-4b44-809d-47a758a7d34b,57680133-10b6-4c41-8862-47f584786f84,6e73bb15-6226-4fe0-ba64-22e193e22b81,cd95be2c-8579-45bf-a8bb-25e1302f94f3,2024-04-15,245577.46,81859.15,6821.6,SKU-LONG-TERM-CA,36,new_logo,2024-04-15
d89fa85a-6846-41c7-ab14-ea781a00c95c,06e0d2ee-a2e6-42a8-8513-3ea2ff7cead6,3e7e796c-a084-440e-97d5-135b721f3e2f,cd95be2c-8579-45bf-a8bb-25e1302f94f3,2025-07-22,142944.47,71472.24,5956.02,SKU-GROUP-BENEFI,24,renewal,2025-07-22
d897e155-bde3-4fce-bf7e-86d384653e94,0944298b-643c-402e-b0a0-b6d8fd58b72e,a7be73f0-3ccf-46aa-b3a1-a7edd9b3e944,56200b11-c589-468c-9185-7792fced4d1a,2025-02-06,158328.41,79164.21,6597.02,SKU-TERM-LIFE-PO,24,renewal,2025-02-06
d6331b7a-a3d1-467a-b36c-755aa5930f0b,28afaaef-b852-4e0a-9902-c2e85880e7e6,15b4ba21-a596-4e13-a1e1-c68f2602f414,962a4109-eb67-401e-83bb-b8bb0a2f118a,2025-01-06,53021.73,53021.73,4418.48,SKU-TERM-LIFE-PO,12,expansion,2025-01-06
