id,external_id,account_id,owner_user_id,name,stage,amount,close_date,source_system,created_at
0771cfb0-ce41-4002-9563-941986411b1e,OPP-3DB9CC2D,596396c1-d40b-4b01-af05-654707efca31,a810ede3-bb80-469b-bb64-9ac0cf656cd7,Evolve Sticky Communities Deal,Negotiation,179991.93,2025-06-08,generated,2025-02-03T21:37:36
17b7df14-5ec0-4973-aba2-ca84bbcffe40,OPP-7877053C,ecaa24e9-b5b0-4ff3-a505-85f809600947,e9295d1e-add6-4bb9-941a-8e1b1a2b4fa7,Aggregate Granular Markets Deal,Negotiation,104542.4,2025-07-28,generated,2025-06-05T09:29:20
2f337358-6471-4f1d-83c3-be7e54e41d6c,OPP-FA2E1A61,b357f455-8d81-4397-a6f8-3e5c97959418,664cffe7-856e-4f94-ad56-e0f053d564f5,Visualize Killer Markets Deal,Negotiation,43494.66,2026-01-01,generated,2025-11-17T04:59:22
acdbbe07-8983-48eb-bada-f4f064d0e481,OPP-199F4185,00925daf-35e7-491f-854b-28835b410b50,60eda1b7-56e0-479c-8d20-abbaacdfe066,Engage Collaborative Communities Deal,Qualification,252617.31,2026-06-29,generated,2026-02-20T16:00:42
49babadb-f217-4c0a-8cb9-88c58c983dea,OPP-1F8D97B6,6cff6894-cc68-461e-9b85-c40b47bbaa13,31b99f30-a14f-4a9e-a854-d6eda5ae0de5,Utilize Turn-Key Deliverables Deal,Closed Lost,53272.97,2025-07-11,generated,2025-03-04T04:17:18
cc6817f2-e6a1-493e-ac15-6f47927fa554,OPP-63CCF7B2,623b1f2f-7858-4698-9f1f-251edbb167cc,60eda1b7-56e0-479c-8d20-abbaacdfe066,Benchmark Dot-Com Portals Deal,Negotiation,258080.15,2025-12-13,generated,2025-10-09T02:40:27
1310130a-9bb3-4e58-9ef9-1ee7fe686ba9,OPP-E0BA7729,883c074d-e518-40ad-9559-151d8db1627c,e9295d1e-add6-4bb9-941a-8e1b1a2b4fa7,Reinvent Wireless Eyeballs Deal,Qualification,294242.42,2025-05-18,generated,2025-04-15T22:27:35
46b6764c-b78f-4966-8921-685572efdd88,OPP-F4C291E2,623b1f2f-7858-4698-9f1f-251edbb167cc,a810ede3-bb80-469b-bb64-9ac0cf656cd7,Grow One-To-One Web-Readiness Deal,Negotiation,57480.47,2025-04-08,generated,2025-02-12T17:09:27
c836c4cc-8ce4-4d58-b2a4-6532ab77e12e,OPP-989A16D5,e410c79b-8b2d-461f-ae8e-3d436fd2f2c2,60eda1b7-56e0-479c-8d20-abbaacdfe066,Orchestrate Real-Time Applications Deal,Closed Lost,292075.94,2025-04-20,generated,2025-02-12T21:15:42
26e19bf0-5169-4516-b3d1-bf3428ea79cd,OPP-CFC71A38,b357f455-8d81-4397-a6f8-3e5c97959418,664cffe7-856e-4f94-ad56-e0f053d564f5,Envisioneer Visionary Models Deal,Closed Won,292543.55,2026-06-03,generated,2026-03-30T05:51:51
ec5e4fab-c0f7-4394-94e2-fc116f52f543,OPP-9FC37522,14edb12f-3408-4d37-84e0-276293ba70ec,a5232be2-2956-438d-98a1-3778969ad69b,Transition Enterprise Schemas Deal,Closed Won,109672.86,2026-11-04,generated,2026-06-26T08:10:50
6d69e6c9-c377-47fc-9665-fd8dc93867e2,OPP-EE2203B2,6e0943a0-c043-43e8-8b26-985185330a0a,a810ede3-bb80-469b-bb64-9ac0cf656cd7,Exploit Dynamic E-Commerce Deal,Closed Won,78393.61,2026-06-13,generated,2026-04-15T09:52:50
