rep_id,period,amount
c260e256-cef6-40a3-a3af-1cc136e02508,2026-Q3,15727.43
c260e256-cef6-40a3-a3af-1cc136e02508,2026-Q2,16854.59
c260e256-cef6-40a3-a3af-1cc136e02508,2026-Q1,17130.08
c260e256-cef6-40a3-a3af-1cc136e02508,2025-Q4,17339.55
c260e256-cef6-40a3-a3af-1cc136e02508,2025-Q3,16581.8
c260e256-cef6-40a3-a3af-1cc136e02508,2025-Q2,17871.5
23971210-c45e-4043-886c-f69c92eedf22,2026-Q3,16831.14
23971210-c45e-4043-886c-f69c92eedf22,2026-Q2,17116.37
23971210-c45e-4043-886c-f69c92eedf22,2026-Q1,16215.92
23971210-c45e-4043-886c-f69c92eedf22,2025-Q4,17565.44
23971210-c45e-4043-886c-f69c92eedf22,2025-Q3,16793.92
23971210-c45e-4043-886c-f69c92eedf22,2025-Q2,17093.0
4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,2026-Q3,43867.88
4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,2026-Q2,44227.67
4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,2026-Q1,45179.36
4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,2025-Q4,41045.23
4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,2025-Q3,41393.56
4df4bb58-afd1-40e1-9459-9fd2f38c9cd8,2025-Q2,39717.71
49ee0e04-55bc-4d24-89d5-288672473cb1,2026-Q3,42323.49
49ee0e04-55bc-4d24-89d5-288672473cb1,2026-Q2,44757.6
49ee0e04-55bc-4d24-89d5-288672473cb1,2026-Q1,43264.73
49ee0e04-55bc-4d24-89d5-288672473cb1,2025-Q4,41870.06
49ee0e04-55bc-4d24-89d5-288672473cb1,2025-Q3,40215.88
49ee0e04-55bc-4d24-89d5-288672473cb1,2025-Q2,38725.68
c78e9bd7-0760-4595-a848-a494101a4147,2026-Q3,9809.52
c78e9bd7-0760-4595-a848-a494101a4147,2026-Q2,9845.52
c78e9bd7-0760-4595-a848-a494101a4147,2026-Q1,10624.58
c78e9bd7-0760-4595-a848-a494101a4147,2025-Q4,10490.09
c78e9bd7-0760-4595-a848-a494101a4147,2025-Q3,11255.07
c78e9bd7-0760-4595-a848-a494101a4147,2025-Q2,10969.6
40713600-da14-4eda-a084-05bb58930679,2026-Q3,39144.32
40713600-da14-4eda-a084-05bb58930679,2026-Q2,43502.43
40713600-da14-4eda-a084-05bb58930679,2026-Q1,44720.12
40713600-da14-4eda-a084-05bb58930679,2025-Q4,42969.94
40713600-da14-4eda-a084-05bb58930679,2025-Q3,41709.37
40713600-da14-4eda-a084-05bb58930679,2025-Q2,45207.4
db5de4a8-68d7-40ac-931b-56ee0158fb6e,2026-Q3,40414.92
db5de4a8-68d7-40ac-931b-56ee0158fb6e,2026-Q2,38976.54
db5de4a8-68d7-40ac-931b-56ee0158fb6e,2026-Q1,44104.56
db5de4a8-68d7-40ac-931b-56ee0158fb6e,2025-Q4,44514.22
db5de4a8-68d7-40ac-931b-56ee0158fb6e,2025-Q3,44367.11
db5de4a8-68d7-40ac-931b-56ee0158fb6e,2025-Q2,41060.64
7c28f429-6319-4ce8-b38a-5d0b486b407b,2026-Q3,10796.97
7c28f429-6319-4ce8-b38a-5d0b486b407b,2026-Q2,10375.67
7c28f429-6319-4ce8-b38a-5d0b486b407b,2026-Q1,9854.71
7c28f429-6319-4ce8-b38a-5d0b486b407b,2025-Q4,11090.09
7c28f429-6319-4ce8-b38a-5d0b486b407b,2025-Q3,11155.69
7c28f429-6319-4ce8-b38a-5d0b486b407b,2025-Q2,9676.25
d6c5c187-0f44-4678-8f06-e8c1b894687b,2026-Q3,39570.01
d6c5c187-0f44-4678-8f06-e8c1b894687b,2026-Q2,42989.17
d6c5c187-0f44-4678-8f06-e8c1b894687b,2026-Q1,40848.6
d6c5c187-0f44-4678-8f06-e8c1b894687b,2025-Q4,44651.23
d6c5c187-0f44-4678-8f06-e8c1b894687b,2025-Q3,45058.2
d6c5c187-0f44-4678-8f06-e8c1b894687b,2025-Q2,40443.04
11c59b73-1c6f-4521-8df0-fa6552bd4feb,2026-Q3,43566.22
11c59b73-1c6f-4521-8df0-fa6552bd4feb,2026-Q2,41144.02
11c59b73-1c6f-4521-8df0-fa6552bd4feb,2026-Q1,40943.1
11c59b73-1c6f-4521-8df0-fa6552bd4feb,2025-Q4,39404.95
11c59b73-1c6f-4521-8df0-fa6552bd4feb,2025-Q3,41329.68
11c59b73-1c6f-4521-8df0-fa6552bd4feb,2025-Q2,41707.94
a41c24be-a766-481d-958b-f5f7864ccaa1,2026-Q3,11063.99
a41c24be-a766-481d-958b-f5f7864ccaa1,2026-Q2,10819.04
a41c24be-a766-481d-958b-f5f7864ccaa1,2026-Q1,10463.45
a41c24be-a766-481d-958b-f5f7864ccaa1,2025-Q4,10368.52
a41c24be-a766-481d-958b-f5f7864ccaa1,2025-Q3,11148.69
a41c24be-a766-481d-958b-f5f7864ccaa1,2025-Q2,9940.19
